ID,Weight in Thousands,gender,hhsize,age,educat,Month,Region
10481,1.848714227,Male,2,39,2,1,5
10483,1.219076255,Female,4,50,6,1,1
10484,1.605421724,Male,2,61,2,1,5
10485,2.322114283,Male,3,28,6,1,1
10487,1.94035125,Male,2,76,2,1,7
10489,2.028996798,Female,2,83,2,1,5
10490,2.40378821,Female,2,16,2,1,7
10491,1.495547135,Female,3,64,7,1,1
10492,1.520325498,Female,2,62,7,1,1
10493,1.942609687,Female,1,85,3,1,5
10494,1.786749433,Female,1,81,7,1,1
10495,1.314522348,Male,6,24,6,1,1
10496,1.379076708,Female,5,39,5,1,1
10497,1.327818152,Female,2,71,1,1,5
10499,1.703558744,Female,4,39,3,1,5
10500,1.37439463,Male,3,17,2,1,1
10501,1.941277006,Male,3,75,3,1,1
10502,1.450081687,Male,4,52,7,1,1
10503,1.183015771,Female,5,17,3,1,1
10504,2.430045089,Female,3,34,6,1,5
10505,1.973440263,Male,2,79,4,1,1
10507,1.520325498,Female,2,59,6,1,1
10508,1.712872266,Male,2,57,4,1,1
10509,1.897731715,Female,2,45,4,1,5
10510,1.529272231,Male,4,42,9,1,3
10511,0.90835117,Male,4,20,3,1,14
10512,2.430045089,Female,3,27,4,1,5
10513,1.178071796,Male,5,32,3,1,14
10514,2.39278305,Female,3,27,6,1,3
10515,1.721971768,Male,4,25,6,1,3
10516,1.330623954,Female,2,44,7,1,2
10517,1.003209027,Female,5,52,3,1,9
10518,1.605421724,Male,2,64,4,1,5
10519,1.579256457,Male,3,56,5,1,5
10521,1.574572257,Female,2,71,5,1,3
10524,1.379076708,Female,5,35,6,1,1
10526,1.183015771,Female,6,16,2,1,1
10527,2.265895552,Female,2,22,4,1,5
10528,1.584876238,Male,3,55,4,1,7
10529,1.639944558,Male,1,57,7,1,1
10530,1.611732252,Female,2,56,4,1,2
10532,1.050613262,Female,6,38,4,1,2
10533,1.711541648,Male,3,51,3,1,3
10535,1.996311189,Male,2,23,3,1,3
10536,1.089286267,Female,5,45,6,1,2
10538,1.813503643,Male,2,41,5,1,3
10539,1.364798253,Female,1,54,6,1,9
10540,1.904599613,Male,4,32,7,1,4
10541,1.738513101,Female,6,28,6,1,5
10542,1.276278914,Male,5,43,7,1,3
10543,1.547034178,Male,1,46,2,1,7
10544,1.539366918,Female,4,27,6,1,2
10546,1.221284103,Female,2,69,2,1,1
10547,1.316236936,Male,5,40,7,1,1
10548,1.178956652,Female,4,50,7,1,7
10549,1.507705756,Female,5,47,2,1,6
10550,1.468786572,Female,3,54,6,1,6
10551,1.968702401,Male,3,43,2,1,5
10552,2.658298581,Male,1,76,7,1,2
10553,1.543101325,Male,1,50,4,1,5
10554,1.965970633,Male,2,52,3,1,9
10555,1.453400622,Female,4,43,7,1,3
10556,1.837054936,Male,3,24,7,1,9
10557,1.739898629,Male,2,50,2,1,3
10558,1.735065701,Male,2,60,5,1,2
10560,1.379076708,Female,5,36,3,1,1
10561,1.945670129,Male,4,38,4,1,1
10562,2.430186735,Female,1,78,4,1,2
10563,1.758826099,Female,3,42,6,1,1
10565,1.467320577,Female,1,52,4,1,2
10566,1.221284103,Female,2,73,4,1,1
10567,1.853351475,Female,4,23,4,1,1
10568,1.520325498,Female,2,62,3,1,1
10569,1.418866195,Male,1,70,2,1,1
10570,2.307293493,Male,2,37,2,1,1
10571,1.786749433,Female,1,85,3,1,1
10574,2.056550103,Male,3,49,3,1,1
10575,1.445654465,Female,2,54,5,1,1
10576,2.161996287,Female,3,22,6,1,1
10577,1.786749433,Female,1,85,3,1,1
10578,1.520325498,Female,2,60,3,1,1
10579,1.201379536,Female,3,69,2,1,1
10580,1.712872266,Male,2,58,3,1,1
10582,1.786749433,Female,1,90,2,1,1
10584,1.316236936,Male,6,40,6,1,1
10585,1.481962633,Male,2,70,7,1,1
10586,2.020634174,Female,4,29,4,1,1
10587,1.786749433,Female,1,78,4,1,1
10588,1.418866195,Male,1,70,5,1,1
10589,1.684955763,Male,3,64,7,1,1
10590,1.546744498,Female,5,24,4,1,1
10592,1.481962633,Male,2,69,6,1,1
10593,1.45780951,Male,3,68,6,1,1
10594,1.221284103,Female,2,72,4,1,1
10595,1.837402648,Male,3,23,3,1,1
10596,1.520325498,Female,2,62,3,1,1
10597,1.169286384,Female,1,70,3,1,1
10598,1.973440263,Male,2,81,4,1,1
10599,1.183015771,Female,6,16,2,1,1
10600,1.067015121,Male,2,71,7,1,11
10601,1.422093096,Female,3,52,5,1,1
10602,1.945670129,Male,4,38,4,1,1
10603,1.690615595,Female,4,45,4,1,3
10604,1.327818152,Female,2,70,4,1,5
10605,1.404932318,Male,5,23,3,1,3
10606,1.218970606,Male,4,41,2,1,7
10607,1.007113136,Female,5,40,3,1,7
10608,2.4703063,Female,2,30,7,1,5
10609,2.35436505,Male,1,28,6,1,13
10610,1.377333637,Male,2,70,3,1,5
10612,1.066284917,Male,2,62,3,1,8
10613,1.210189164,Male,5,53,6,1,1
10614,1.482641269,Male,2,65,4,1,6
10615,1.311093515,Male,2,67,7,1,3
10616,1.44632892,Female,3,61,6,1,7
10617,1.684955763,Male,3,59,4,1,1
10619,1.332372016,Male,5,39,3,1,2
10620,2.360587287,Male,2,33,3,1,1
10621,1.657782871,Male,2,55,2,1,6
10622,1.664602827,Female,2,48,4,1,7
10623,1.866205497,Female,2,75,2,1,1
10624,2.357137132,Female,3,33,6,1,1
10625,1.684955763,Male,3,58,4,1,1
10628,1.845315013,Male,3,31,6,1,6
10629,2.083499807,Male,2,48,4,1,6
10630,1.758826099,Female,3,40,2,1,1
10632,1.524426122,Male,4,16,2,1,5
10633,1.48639839,Female,3,62,7,1,3
10635,2.322114283,Male,3,25,6,1,1
10636,2.079787216,Female,2,45,7,1,1
10637,1.799412659,Female,3,18,5,1,4
10640,2.365129878,Female,1,28,4,1,5
10641,1.963775181,Male,3,21,3,1,3
10642,1.327818152,Female,2,67,3,1,5
10643,1.444412864,Male,4,56,6,1,1
10646,2.250506674,Female,2,75,2,1,7
